tconst,imdb_title,start_year,imdb_genres
tt10003618,Celts,2021,Drama
tt10023150,My Cousin,2020,Comedy
tt10023286,The Humans,2021,Drama
tt10043660,Engaged in Vegas,2021,Comedy
tt10054316,Guest House,2020,Comedy
tt10077544,Rosa's Wedding,2020,Comedy
tt10088984,Between Two Worlds,2021,Drama
tt10102080,Range Roads,2021,Drama
tt10117768,My Little Sister,2020,Drama
tt10171848,Pigeon's Milk,2021,Drama
tt10189514,Soorarai Pottru,2020,Drama
tt10192406,Causeway,2022,Drama
tt10195722,Highway One,2021,Drama
tt10198564,Bullet Proof,2022,Action
tt10199914,The Boys in the Band,2020,Drama
tt10232096,Buran,2022,Drama
tt10234990,Stroke of Luck,2022,Comedy
tt10239320,The Surrogate,2020,Drama
tt10247750,Ordinary Justice,2020,Drama
tt10252330,Granny Nanny,2020,Comedy
tt10260692,Faith Based,2020,Comedy
tt10264878,A Stormy Night,2020,Drama
tt10268922,Si muore solo da vivi,2020,Comedy
tt10283902,Feral State,2020,Thriller
tt10290510,Undercover Wedding Crashers,2021,Comedy
tt10300286,The Redeemers,2020,Action
tt10300570,Kadaisi Vivasayi,2021,Drama
tt10306450,The Kindred,2021,Thriller
tt10307856,The Argument,2020,Comedy
tt10310074,True Things,2021,Drama
tt10311018,Brother's Keeper,2021,Drama
tt10313748,La leyenda negra,2020,Drama
tt10314344,The Subject,2020,Drama
tt10332854,Alone,2020,Thriller
tt10343028,Armageddon Time,2022,Drama
tt10344522,Four Good Days,2020,Drama
tt10345782,The Catholic School,2021,Drama
tt10353866,Ellie & Abbie (& Ellie's Dead Aunt),2020,Comedy
tt10360772,My Best Friend Anne Frank,2021,Drama
tt10360808,The Cow Who Sang a Song Into the Future,2022,Drama
tt10360862,The Man Who Sold His Skin,2020,Drama
tt10365870,This Is My Desire,2020,Drama
tt10366574,Prayers for the Stolen,2021,Drama
tt10375396,God's Creatures,2022,Drama
tt10389922,Air Conditioner,2020,Drama
tt10395398,That Was Life,2020,Drama
tt10399622,Inside the Yellow Cocoon Shell,2023,Drama
tt10405142,Serial (Bad) Weddings 3,2021,Comedy
tt10406466,It Is in Us All,2022,Drama
tt10415020,Uman - The Perfect Man,2022,Comedy
tt10418630,True Mothers,2020,Drama
tt10426580,We Burn Like This,2021,Drama
tt10426916,Simply Black,2020,Comedy
tt10429158,Eden,2020,Drama
tt10434142,Schoolgirls,2020,Drama
tt10448528,Ernesto,2020,Drama
tt10457168,My Fiona,2021,Drama
tt10466340,Me casé con un idiota,2022,Comedy
tt10466348,Code of Thieves,2020,Action
tt10471804,Crónica de una tormenta,2020,Drama
tt10492998,I Hate Summer,2020,Comedy
tt10514240,Like a House on Fire,2020,Drama
tt10545704,"Farewell, Mr. Haffmann",2021,Drama
tt10551904,Dear Mother,2020,Comedy
tt10557524,Brutus vs César,2020,Comedy
tt10560062,Marcus,2020,Drama
tt10579768,Fully Realized Humans,2020,Comedy
tt10582422,Sweet Sunshine,2020,Drama
tt10612922,One Night in Miami...,2020,Drama
tt10622260,Roll with It,2023,Comedy
tt10627584,The Life Ahead,2020,Drama
tt10633456,Minari,2020,Drama
tt10642250,Death of Nintendo,2020,Comedy
tt10648198,Tell Me When,2020,Comedy
tt10692788,After Love,2020,Drama
tt10699348,Rundfunk: Jachterwachter,2020,Comedy
tt10702148,The Killing of Two Lovers,2020,Drama
tt10731264,Suraj Pe Mangal Bhari,2020,Comedy
tt10735778,Lethal Kittens,2020,Comedy
tt10772654,"Have Fun, Vasya! Date in Bali",2021,Comedy
tt10773194,My Dead Dad,2021,Drama
tt10779254,Talking About the Weather,2022,Drama
tt10787484,Whitetail,2021,Thriller
tt10798072,Padrenostro,2020,Drama
tt10799922,Painkiller,2021,Thriller
tt10811166,The Kashmir Files,2022,Drama
tt10814876,7 Hours to Win Your Heart,2020,Comedy
tt10816000,Take Out Girl,2020,Drama
tt10826116,Trouble Will Find Us,2020,Drama
tt10826164,Forever and a Day,2022,Drama
tt10832072,Breaking Them Up,2020,Comedy
tt10835642,Chavalas,2021,Comedy
tt10886702,Lady of Guadalupe,2020,Drama
tt10893170,Bhoomi,2021,Drama
tt10919446,Spirit Quest,2021,Comedy
tt10925852,A Mouthful of Air,2021,Drama
tt10926320,Dating & New York,2021,Comedy
tt10927554,Klovn the Final,2020,Comedy
tt10937434,Ultras,2020,Drama
tt10942302,The Get Together,2020,Comedy
tt10945232,Men on the Verge of a Nervous Breakdown,2022,Comedy
tt10945254,Operation Portugal,2021,Comedy
tt10949014,One-way to Moscow,2020,Comedy
tt10951504,Mía & Moi,2021,Drama
tt10951972,Arthur Rambo,2021,Drama
tt10954526,The Girl in the Yellow Jumper,2020,Thriller
tt10961186,A Starry Sky Above the Roman Ghetto,2020,Drama
tt10964430,Thappad,2020,Drama
tt10984580,Utama,2022,Drama
tt10986222,C'mon C'mon,2021,Drama
tt10989808,Beckman,2020,Action
tt10993580,Not Quite Dead Yet,2020,Comedy
tt10994688,The Binge,2020,Comedy
tt11010804,Jesus,2020,Drama
tt11012320,The Hole,2021,Drama
tt11016222,White People Money,2020,Comedy
tt11018402,Working Girls,2020,Drama
tt11028768,The People Upstairs,2020,Comedy
tt11041106,The Justice of Bunny King,2021,Drama
tt11087960,Playground,2021,Drama
tt11093266,Peaceful,2021,Drama
tt11105790,Broken Keys,2021,Drama
tt11106034,Knitting,2021,Drama
tt11111232,Valentina,2020,Drama
tt11111286,Reboot Camp,2020,Comedy
tt11114708,Mile High Escorts,2020,Thriller
tt11123132,Amercement,2020,Drama
tt11127512,Heartbeat,2020,Thriller
tt11128342,I Don't Wanna Dance,2021,Drama
tt11137272,3 Women,2020,Drama
tt11161474,Pieces of a Woman,2020,Drama
tt11162826,Naked Animals,2020,Drama
tt11177120,Black Medicine,2021,Thriller
tt11193834,ANIMA,2020,Drama
tt11199310,Miss India,2020,Drama
tt11232334,Taipei Suicide Story,2020,Drama
tt11246284,Win a Trip to Browntown!,2022,Comedy
tt11252460,King Knight,2021,Comedy
tt11258824,Conference,2020,Drama
tt11261820,Tahara,2020,Drama
tt11266956,"Poor Rich Family, When Luck Run$ Out",2022,Comedy
tt11269026,Mother's Love,2022,Comedy
tt11281142,Sol,2020,Comedy
tt11286640,Nowhere Special,2020,Drama
tt11296142,Downeast,2021,Drama
tt11297214,Mission Extreme,2021,Action
tt11306376,Jathi Ratnalu,2021,Comedy
tt11332484,The Road Dance,2021,Drama
tt11332500,Guerra de likes,2021,Comedy
tt11355212,Jail,2021,Drama
tt11358398,The Man Standing Next,2020,Thriller
tt11361714,Persona non grata,2021,Drama
tt11362866,Historias lamentables,2020,Comedy
tt11364996,5000 Blankets,2022,Drama
tt11366736,Deadly Cuts,2021,Comedy
tt11372516,To the Moon,2021,Drama
tt11378154,The App That Stole Christmas,2020,Comedy
tt11379584,Luzzu,2021,Drama
tt11379620,The Last Ride of the Wolves,2022,Drama
tt11388990,I Carry You with Me,2020,Drama
tt11389748,Mass,2021,Drama
tt11389850,Sandra Gets a Job,2021,Drama
tt11394158,Miss Juneteenth,2020,Drama
tt11394282,Identifying Features,2020,Drama
tt11410238,"Goodbye, Butterfly",2021,Thriller
tt11418284,The Art of Love,2022,Comedy
tt11426538,Coffee Wars,2023,Comedy
tt11440056,Feride,2020,Comedy
tt11463324,Inspector Ike,2020,Comedy
tt11468896,In Deep Sleep,2020,Drama
tt11492176,Inbetween Girl,2021,Drama
tt11497480,Asur,2020,Drama
tt11508438,One for the Road,2021,Drama
tt11530778,Suzanna Andler,2021,Drama
tt11555492,Farha,2021,Drama
tt11557872,Zaï Zaï Zaï Zaï,2020,Comedy
tt11563926,The Mulligan,2022,Drama
tt11564218,The Best Is Yet to Come,2020,Drama
tt11566164,Secret Zoo,2020,Comedy
tt11568878,Residue,2020,Drama
tt11570318,My Father Is an Airplane,2021,Drama
tt11599576,Juniper,2021,Drama
tt11611486,The Restless,2021,Drama
tt11614472,The Inventor,2020,Drama
tt11623722,Green Sea,2020,Drama
tt11634320,Pregnant and Alone,2020,Thriller
tt11639052,Black Milk,2020,Drama
tt11645056,Con quién viajas,2021,Comedy
tt11651780,Choked,2020,Drama
tt11685322,Sweet Thing,2020,Drama
tt11697690,The Woman Who Ran,2020,Drama
tt11697820,Days,2020,Drama
tt11697832,DAU. Natasha,2020,Drama
tt11697844,There Is No Evil,2020,Drama
tt11719648,Dry Wind,2020,Drama
tt11727866,Catherine Called Birdy,2022,Adventure
tt11730520,Black Snow,2020,Drama
tt11735544,Beans,2020,Drama
tt11741044,I Was a Simple Man,2021,Drama
tt11764856,A Christmas Cancellation,2020,Drama
tt11765324,Fast and Fierce: Death Race,2020,Action
tt11767722,Sun Children,2020,Drama
tt11768008,Poppy Field,2020,Drama
tt11771006,Birds of Paradise,2021,Drama
tt11771704,Between Two Dawns,2021,Drama
tt11773484,Ballad of a White Cow,2020,Drama
tt11777510,Love Spreads,2021,Comedy
tt11777738,A Hero,2021,Drama
tt11781806,Albatros,2021,Drama
tt11783988,Moneyboys,2021,Drama
tt11792734,Leyla Everlasting,2020,Comedy
tt11807866,Outside Noise,2021,Drama
tt11812338,Honest Candidate,2020,Comedy
tt11813228,White Building,2021,Drama
