tconst,imdb_avg_rating,imdb_num_votes
tt10003618,6.8,517
tt10023150,5.4,761
tt10023286,6.1,11814
tt10043660,3.8,1118
tt10054316,4.4,2843
tt10077544,6.4,2211
tt10088984,6.9,2828
tt10102080,6.5,87
tt10117768,6.8,1440
tt10171848,5.2,74
tt10189514,8.6,131413
tt10192406,6.6,26640
tt10195722,5.2,96
tt10198564,4.3,1942
tt10199914,6.8,19395
tt10232096,5.5,29
tt10234990,4.9,118
tt10239320,6.2,671
tt10247750,6.1,110
tt10252330,6.5,1025
tt10260692,5.2,1447
tt10264878,5.7,734
tt10268922,5.4,254
tt10283902,4.7,2874
tt10290510,5.5,1174
tt10300286,5.3,160
tt10300570,8.7,10062
tt10306450,4.7,874
tt10307856,4.8,974
tt10310074,5.9,2110
tt10311018,7.3,4099
tt10313748,7.2,87
tt10314344,4.9,331
tt10332854,3.5,1271
tt10343028,6.4,17890
tt10344522,6.6,15758
tt10345782,5.6,4154
tt10353866,6.0,882
tt10360772,6.3,6387
tt10360808,5.9,447
tt10360862,6.9,7737
tt10365870,7.0,688
tt10366574,7.3,4606
tt10375396,6.0,4244
tt10389922,6.2,753
tt10395398,6.3,406
tt10399622,6.8,1974
tt10405142,6.1,4921
tt10406466,5.4,582
tt10415020,4.7,211
tt10418630,7.0,2282
tt10426580,5.2,367
tt10426916,6.4,2755
tt10429158,6.1,469
tt10434142,6.4,2911
tt10448528,4.4,146
tt10457168,5.7,340
tt10466340,5.2,70
tt10466348,3.5,99
tt10471804,5.3,122
tt10492998,6.7,4275
tt10514240,6.0,397
tt10545704,7.1,3569
tt10551904,5.8,2154
tt10557524,3.7,1008
tt10560062,5.6,179
tt10579768,5.2,242
tt10582422,6.6,468
tt10612922,7.1,35778
tt10622260,7.4,124
tt10627584,6.8,16366
tt10633456,7.4,124300
tt10642250,5.8,208
tt10648198,5.8,1250
tt10692788,7.3,4796
tt10699348,5.7,1764
tt10702148,6.8,5887
tt10731264,6.0,5278
tt10735778,7.6,1230
tt10772654,4.9,307
tt10773194,5.5,418
tt10779254,6.3,568
tt10787484,4.3,302
tt10798072,6.1,1334
tt10799922,3.4,239
tt10811166,8.5,578691
tt10814876,6.2,1512
tt10816000,5.5,336
tt10826116,6.4,209
tt10826164,6.2,33
tt10832072,5.5,394
tt10835642,5.9,1054
tt10886702,5.3,179
tt10893170,4.7,3400
tt10919446,4.3,61
tt10925852,6.1,3396
tt10926320,4.9,961
tt10927554,6.5,3046
tt10937434,6.2,5812
tt10942302,4.8,322
tt10945232,5.2,609
tt10945254,4.7,634
tt10949014,6.3,294
tt10951504,5.6,210
tt10951972,6.1,820
tt10954526,5.6,1017
tt10961186,6.2,70
tt10964430,7.0,27767
tt10984580,7.1,2451
tt10986222,7.3,42532
tt10989808,4.3,876
tt10993580,5.9,586
tt10994688,5.3,4956
tt11010804,4.7,394
tt11012320,6.6,2150
tt11016222,1.9,312
tt11018402,6.2,1019
tt11028768,6.6,3742
tt11041106,6.7,838
tt11087960,7.3,5145
tt11093266,6.8,1066
tt11105790,6.5,373
tt11106034,7.1,75
tt11111232,7.1,421
tt11111286,4.5,1905
tt11114708,5.0,391
tt11123132,6.8,1362
tt11127512,3.4,1373
tt11128342,7.0,204
tt11137272,4.0,49
tt11161474,7.0,59894
tt11162826,5.7,291
tt11177120,5.6,331
tt11193834,6.7,38
tt11199310,3.9,3481
tt11232334,7.3,1123
tt11246284,3.9,244
tt11252460,5.0,826
tt11258824,6.7,439
tt11261820,5.9,459
tt11266956,4.7,107
tt11269026,5.8,4105
tt11281142,6.0,230
tt11286640,7.4,9230
tt11296142,5.8,301
tt11297214,6.0,1419
tt11306376,7.4,8781
tt11332484,7.1,2252
tt11332500,5.0,606
tt11355212,4.8,451
tt11358398,7.0,4981
tt11361714,6.4,1482
tt11362866,6.6,2069
tt11364996,6.0,516
tt11366736,5.9,1473
tt11372516,4.6,231
tt11378154,2.7,777
tt11379584,6.9,2153
tt11379620,5.8,136
tt11388990,6.7,1930
tt11389748,7.5,19362
tt11389850,5.1,121
tt11394158,6.5,2373
tt11394282,7.3,2772
tt11410238,4.8,556
