movieId,title,genres
210469,Like a Boss (2020),Comedy
210853,My Boyfriend's Meds (2020),(no genres listed)
211504,Rogue Warfare: Death of a Nation (2020),Action|War
212120,The Bet (2020),Comedy
212365,Odio l'estate (2020),Comedy
212511,Alone (2020),Thriller
212907,Holly Slept Over (2020),Comedy
212939,One-way to Moscow (2020),Comedy
213211,In Deep Sleep (2020),Drama
213213,Impractical Jokers: The Movie (2020),Comedy
213219,Lethal Kittens or how we came to Love our Shovels during a Limited Anti-Terrorist Operation with Temporary Elements of a State of War (2020),Comedy|War
213503,Charm City Kings (2020),Drama
213557,Die Känguru-Chroniken (2020),Comedy
213898,Never Rarely Sometimes Always (2020),Drama
214576,Black Milk (2020),Drama
214640,Ultras (2020),Drama
214854,Uncorked (2020),Comedy|Drama
214949,Final Kill (2020),Action
215055,Lazy Susan (2020),Comedy
215203,Tigertail (2020),Drama
215353,Minari (2020),Drama
215569,DAU. Natasha (2020),Drama
215685,Bad Trip (2020),Comedy
215841,Treasure City (2020),Drama
216127,The Roads Not Taken (2020),Drama
216354,I Carry You With Me (2020),(no genres listed)
216515,The Man Standing Next (2020),Action|Drama
216669,All Day and a Night (2020),Drama
217089,One of These Days (2020),(no genres listed)
217164,Sex and the Future (2020),Comedy
217386,Thappad (2020),Drama
217487,For the Love of Jessee (2020),(no genres listed)
217597,Klovn the Final (2020),Comedy
217717,The Lion (2020),Comedy
217719,7 ore per farti innamorare (2020),Comedy
217861,The Bellmen (2020),Comedy
217923,About a Teacher,Drama
217975,Air Conditioner (2020),Drama
218029,Fame-ish (2020),(no genres listed)
218237,Jesus (2020),Children
218453,Fast and Fierce: Death Race (2020),Action
218645,Healing River (2020),Drama
218675,Miss Juneteenth (2020),Drama
218917,Code of Thieves (2020),Action
219139,Sulphur and White (2020),Drama
219418,The Swing of Things (2020),Comedy
219430,The F**k-It List (2020),Comedy
219818,2 Minutes of Fame (2020),Comedy
219822,Gina Brillon: The Floor Is Lava (2020),Comedy
220310,Allan The Dog (2020),Comedy
220342,A Stormy Night (2020),(no genres listed)
220424,Choked: Paisa Bolta Hai (2020),Crime|Drama|Thriller
220470,Death of Nintendo (2020),Comedy|Drama
220956,Adú (2020),Drama
221302,Divine (2020),Comedy|Romance
221542,Confirmation (2020),Drama
221792,Secret Zoo (2020),Comedy
222282,The Very Excellent Mr. Dundee (2020),Comedy
222575,Pearl (2020),Drama
222591,Critical Thinking (2020),Drama
222611,Cuties (2020),Comedy|Drama
222681,Heartbeat (2020),Thriller
223031,The Binge (2020),Comedy
223081,Green Rush (2020),Action|Drama|Thriller
223318,Anti Corona Virus,(no genres listed)
223402,The Dark End of the Street (2020),Drama|Thriller
223442,Baby Done (2020),Comedy
223580,Residue (2020),Drama
223614,Guest House (2020),Comedy
223820,Tout simplement noir (2020),Comedy
223896,The Argument (2020),Comedy
223934,Narcissus and Goldmund (2020),Drama
223948,Small Country: An African Childhood (2020),Drama
224022,SOL (2020),Comedy
224184,Groeten van Gerri (2020),Comedy
224200,The Ties (2020),Drama
224204,Milestone (2020),Drama
224214,The Island of Lies (2020),Drama|Mystery|Thriller
224216,Beckman (2020),Action
224246,Forest Giant (2020),Drama
224322,A normal world (2020),Drama
224338,Pieces of a Woman (2020),Drama
224519,Brutus Vs César (2020),Adventure|Comedy
224591,Last Shot (2020),Drama
224635,Padrenostro (2020),Drama
224643,Sun Children (2020),Drama
224645,Assandira (2020),Drama
224649,The Macaluso Sisters (2020),Drama
224683,Half White (2020),(no genres listed)
224713,Up On The Glass (2020),Drama|Thriller
224721,There Is No Evil (2020),Drama
224793,A feltaláló (2020),Drama
224803,Forte (2020),Comedy
224811,Fantasy Magician (2020),Action|Drama
224877,No Filter (2020),Comedy
224885,The Surrogate (2020),Drama
224903,Rundfunk: Jachterwachter (2020),Comedy
225063,Mutiny of the Worker Bees (2020),Comedy
225145,Nomadland (2020),Drama
225485,The Boys in the Band (2020),Drama
225625,Borat Subsequent Moviefilm (2020),Comedy
225691,The Book of Sun (2020),Comedy|Drama|Thriller
225762,The Woman Who Ran (2020),Drama
225794,So Much Love to Give (2020),Comedy
225822,Surge (2020),Drama
225866,Honest Candidate (2020),Comedy
225972,Falling (2020),Drama
225990,Inspector Ike (2020),Comedy
226066,Guilt (2020),Thriller
226076,The Black Emperor of Broadway (2020),(no genres listed)
226138,Teenage Badass (2020),Comedy
226306,Faith Based (2020),Comedy
